#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.615,154,186.717672
0.87,52,186.791974
0.9625,15,186.810048
0.8075,77,186.899747
0.9025,39,186.946707
0.74,104,187.069833
0.7575,97,187.190006
0.8975,41,187.253609
0.8975,41,187.302066
0.87,52,187.364018
0.9175,33,187.402897
0.8625,55,187.467155
0.8975,41,187.514837
0.1525,339,187.928514
0.9325,27,187.958786
0.93,28,187.994051
0.7025,119,188.129761
0.885,46,188.183767
0.925,30,188.223911
0.92,32,188.272671
0.89,44,188.341537
0.8725,51,188.404924
0.93,28,188.4391
0.39,244,188.725836
0.8575,57,188.800761
0.895,42,188.855442
0.9425,23,188.886739
0.8425,63,188.960174
0.77,92,189.069662
0.6975,121,191.270497
0.625,150,191.461694
0.965,14,191.478873
0.96,16,191.49862
0.9275,29,191.532785
0.89,44,191.584314
0.9575,17,191.604414
0.8,80,191.69601
0.8925,43,191.755725
0.9,40,191.808706
0.9575,17,191.829259
0.895,42,191.878881
0.93,28,191.918724
0.91,36,191.966915
0.9525,19,191.988668
0.9475,21,192.014721
0.9325,27,192.044815
0.8825,47,192.100653
0.8925,43,192.149936
0.8325,67,192.244056
0.93,28,192.277778
0.8075,77,192.369986
0.8325,67,192.461981
0.92,32,192.500694
0.9475,21,192.525747
0.8975,41,192.575716
0.94,24,192.605018
0.9175,33,192.645033
0.965,14,192.661073
0.965,14,192.677595
0.7925,83,192.775079
0.6575,137,192.942904
0.9175,33,192.998043
0.9075,37,193.053373
0.9075,37,193.097815
0.785,86,193.19678
0.87,52,193.259851
0.89,44,193.311651
0.9575,17,193.332365
0.865,54,193.402738
0.905,38,193.448795
0.925,30,193.487649
0.91,36,193.530027
0.95,20,193.552568
0.925,30,193.586753
0.9625,15,193.604887
0.7825,87,193.710458
0.9425,23,195.775971
0.9475,21,195.804391
0.8675,53,195.871642
0.97,12,195.888954
0.93,28,195.927916
0.955,18,195.952681
0.9475,21,195.979874
0.9425,23,196.013988
0.945,22,196.048603
0.825,70,196.139934
0.96,16,196.161051
0.89,44,196.213728
0.835,66,196.29372
0.9475,21,196.317767
0.95,20,196.342607
0.9675,13,196.359715
0.97,12,196.374735
0.8675,53,196.434801
0.92,32,196.474097
0.93,28,196.508734
0.9,40,196.572899
0.925,30,196.619644
0.9375,25,196.649263
0.86,56,196.714743
0.96,16,196.733807
0.9325,27,196.764244
0.9075,37,196.807351
0.84,64,196.878991
0.9475,21,196.904597
0.815,74,196.989205
0.9,40,197.038706
0.8475,61,197.120012
0.835,66,197.202663
0.945,22,197.228925
0.93,28,197.261917
0.9025,39,197.309629
0.92,32,197.36301
0.915,34,197.431109
0.9075,37,197.479815
0.925,30,197.514244
0.925,30,197.551833
0.855,58,197.636694
0.88,48,197.696801
0.9075,37,197.739764
0.9475,21,197.765297
0.965,14,197.78245
0.9125,35,197.823236
0.9575,17,197.842985
0.95,20,197.865601
0.9425,23,197.89271
0.9325,27,197.924459
0.91,36,197.966161
0.9025,39,198.011087
0.93,28,198.048735
0.8,80,198.1508
0.915,34,198.190747
0.925,30,198.225626
0.94,24,198.254892
0.9175,33,198.294055
0.925,30,198.329472
0.8975,41,200.443686
0.9475,21,200.474288
0.8275,69,200.570878
0.67,132,200.747031
0.8675,53,200.813214
0.9575,17,200.834472
0.94,24,200.863695
0.8675,53,200.926757
0.915,34,200.967045
0.975,10,200.978867
0.9375,25,201.007726
0.9075,37,201.049949
0.9375,25,201.078707
0.965,14,201.095815
0.9575,17,201.116091
0.89,44,201.167636
0.8825,47,201.231862
0.8725,51,201.299976
0.845,62,201.372745
0.9125,35,201.415357
0.8825,47,201.468673
0.955,18,201.49193
0.915,34,201.53212
0.95,20,201.557265
0.935,26,201.586912
0.965,14,201.603652
0.9425,23,201.631922
0.9575,17,201.651932
0.885,46,201.708899
0.9075,37,201.765428
0.9425,23,201.801989
0.8425,63,201.891086
0.9225,31,201.929019
0.7325,107,202.05084
0.9525,19,202.073444
0.915,34,202.112647
0.8975,41,202.160966
0.93,28,202.195531
0.9075,37,202.240052
0.935,26,202.274513
0.9425,23,202.305779
0.94,24,202.339371
0.955,18,202.364599
0.935,26,202.397598
0.93,28,202.441987
0.9125,35,202.496949
0.535,186,202.735619
0.8475,61,202.813034
0.95,20,202.837035
0.79,84,202.947966
0.9775,9,202.958505
0.9075,37,203.001646
0.93,28,205.07262
