#{"t_start": 1767536782.4364533, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.945,22,219.594936
0.9375,25,219.632836
0.385,246,220.017113
0.9225,31,220.068901
0.95,20,220.098464
0.6325,147,220.331093
0.855,58,220.427138
0.785,86,220.553053
0.9175,33,220.600935
0.855,58,220.698309
0.8725,51,220.780934
0.8825,47,220.849881
0.95,20,220.880209
0.9325,27,220.928915
0.8325,67,221.024068
0.6875,125,221.200103
0.96,16,221.221159
0.945,22,221.252889
0.1625,335,221.801728
0.8875,45,221.884186
0.9375,25,221.921858
0.5575,177,222.218972
0.735,106,222.383991
0.94,24,222.421875
0.8675,53,224.854078
0.9,40,224.915353
0.435,226,225.240945
0.9575,17,225.264528
0.9475,21,225.295157
0.95,20,225.321836
0.8525,59,225.406103
0.9125,35,225.453955
0.9525,19,225.479655
0.8975,41,225.538925
0.88,48,225.606197
0.6825,127,225.789868
0.9275,29,225.833218
0.7775,89,225.973055
0.86,56,226.050986
0.88,48,226.120729
0.5875,165,226.360977
0.925,30,226.402805
0.9525,19,226.430887
0.7775,89,226.555777
0.4475,221,226.883569
0.925,30,226.929871
0.945,22,226.966167
0.9125,35,227.02103
0.645,142,227.228138
0.7025,119,227.420389
0.905,38,227.471938
0.0,360,230.256941
0.8575,57,230.334889
0.935,26,230.372984
0.87,52,230.446739
0.9425,23,230.479892
0.9375,25,230.516039
0.8975,41,230.576082
0.915,34,230.624888
0.96,16,230.648045
0.8775,49,230.715217
0.8675,53,230.800077
0.905,38,230.859482
0.9,40,230.916889
0.94,24,230.951977
0.935,26,230.991573
0.91,36,231.043939
0.93,28,231.082927
0.97,12,231.101975
0.9525,19,231.134339
0.9,40,231.191798
0.825,70,231.287168
0.8675,53,231.360972
0.895,42,231.420826
0.9075,37,231.472186
0.935,26,231.509878
0.9625,15,231.529942
0.885,46,231.595202
0.9475,21,231.623789
0.8825,47,231.685359
0.92,32,231.732961
0.93,28,231.780034
0.625,150,231.990653
0.92,32,232.035203
0.9075,37,232.091136
0.935,26,232.128787
0.8325,67,232.226946
0.95,20,232.261092
0.8525,59,232.346923
0.935,26,232.383203
0.71,116,232.545058
0.85,60,232.631928
0.885,46,232.704503
0.86,56,232.794373
0.95,20,232.824009
0.955,18,232.848552
0.895,42,232.906689
0.8425,63,232.997966
0.855,58,235.396334
0.9475,21,235.429479
0.845,62,235.518276
0.825,70,235.627967
0.945,22,235.659627
0.9475,21,235.695087
0.8175,73,235.803164
0.9375,25,235.836772
0.265,294,236.249844
0.9575,17,236.276448
0.925,30,236.317073
0.9325,27,236.358271
0.7125,115,236.531961
0.8825,47,236.59626
0.69,124,236.789196
0.9125,35,236.843869
0.875,50,236.913793
0.9575,17,236.938841
0.935,26,236.978601
0.9175,33,237.029962
0.93,28,237.079737
0.8925,43,237.145752
0.94,24,237.186693
0.925,30,237.231831
0.9675,13,237.251915
0.94,24,237.285521
0.935,26,237.320113
0.9325,27,237.36016
0.89,44,237.421926
0.9125,35,237.479947
0.9325,27,237.523929
0.785,86,237.660503
0.95,20,237.691276
0.855,58,237.779711
0.9125,35,237.831778
0.925,30,237.875078
0.9025,39,237.929961
0.905,38,237.984215
0.95,20,238.010991
0.955,18,238.038538
0.94,24,238.07419
0.84,64,238.163156
0.8775,49,238.23312
0.96,16,238.256817
0.9425,23,238.289454
0.955,18,238.314722
0.7475,101,240.87101
0.8375,65,240.959774
0.9375,25,241.004945
0.9325,27,241.048032
0.9225,31,241.098513
0.935,26,241.133214
0.895,42,241.194943
0.9375,25,241.228891
0.8875,45,241.291425
0.935,26,241.338165
0.9025,39,241.396156
0.9475,21,241.426215
0.8975,41,241.489187
0.92,32,241.531816
0.9125,35,241.588056
0.89,44,241.65196
0.875,50,241.719724
0.955,18,241.747051
0.9,40,241.812469
0.9525,19,241.840136
0.8825,47,241.908347
0.9425,23,241.940338
0.925,30,241.984908
0.9025,39,242.044986
0.93,28,242.08507
0.87,52,242.174864
0.96,16,242.202755
0.95,20,242.231715
0.96,16,242.254581
0.9675,13,242.275178
0.9475,21,242.310217
0.8775,49,242.383743
0.8475,61,242.470915
0.9075,37,242.528138
0.8575,57,242.606854
0.91,36,242.660192
0.9075,37,242.714317
0.94,24,242.747933
0.87,52,242.822273
0.9425,23,242.855392
0.915,34,242.902761
0.905,38,242.955319
0.94,24,242.988405
0.955,18,243.017101
0.9225,31,243.063924
0.935,26,243.105769
0.9,40,243.174128
0.91,36,243.223803
0.9275,29,243.266189
0.9325,27,243.303954
0.945,22,243.334103
0.7825,87,243.45615
0.9225,31,243.499025
0.9225,31,243.546051
0.8725,51,243.614827
0.9075,37,243.663486
0.89,44,243.724998
0.9325,27,243.763082
0.9475,21,243.795822
0.9475,21,243.825564
0.915,34,246.334257
0.88,48,246.408462
0.9175,33,246.454809
0.935,26,246.490006
0.805,78,246.615767
0.955,18,246.650224
0.79,84,246.770969
0.9425,23,246.805556
0.935,26,246.845936
0.885,46,246.919965
0.945,22,246.956838
0.9025,39,247.019961
0.955,18,247.049026
0.8925,43,247.122349
0.9075,37,247.18089
0.9375,25,247.218661
0.8575,57,247.307969
0.9175,33,247.363159
0.92,32,247.419847
0.925,30,247.469609
0.945,22,247.504801
0.9375,25,247.540347
0.9425,23,247.574945
0.94,24,247.611282
0.94,24,247.648985
0.935,26,247.690873
0.9,40,247.75903
0.95,20,247.794268
0.915,34,247.853003
0.935,26,247.895307
0.925,30,247.94095
0.94,24,247.981041
0.905,38,248.034502
0.965,14,248.055237
0.8975,41,248.111771
0.935,26,248.150091
0.965,14,248.170816
0.9475,21,248.205625
0.9675,13,248.224813
0.9425,23,248.259688
0.9325,27,248.298073
0.9075,37,248.352897
0.9475,21,248.384046
0.955,18,248.413443
0.9325,27,248.451817
0.935,26,248.48928
0.94,24,248.524977
0.9575,17,248.548563
0.9075,37,248.604137
0.93,28,248.651959
0.9525,19,248.67898
0.935,26,248.722902
0.9125,35,248.782035
0.9425,23,248.820899
0.9425,23,248.855722
0.965,14,248.875506
0.9475,21,248.909689
0.9475,21,248.940945
0.8775,49,249.012391
0.96,16,249.036138
0.9525,19,249.065206
0.9525,19,249.100026
0.9525,19,249.13494
0.955,18,249.170467
0.945,22,249.211071
0.905,38,249.293182
0.9225,31,249.358967
0.905,38,249.428361
0.88,48,249.535919
0.88,48,252.350955
0.9475,21,252.382237
0.955,18,252.408925
0.91,36,252.460049
0.9575,17,252.490128
0.95,20,252.52681
0.935,26,252.570914
0.905,38,252.626003
0.97,12,252.643044
0.9225,31,252.692092
0.9275,29,252.740142
0.925,30,252.78118
0.86,56,252.86289
0.9525,19,252.894016
0.935,26,252.941915
0.9075,37,252.998179
0.9175,33,253.047172
0.94,24,253.084994
0.9225,31,253.128849
0.9575,17,253.153936
0.915,34,253.200328
0.8525,59,253.299801
0.9475,21,253.335262
0.8325,67,253.430152
0.855,58,253.514861
0.925,30,253.563043
0.9325,27,253.599641
0.905,38,253.657928
0.96,16,253.686229
0.93,28,253.735025
0.93,28,253.781133
0.945,22,253.813389
0.93,28,253.854005
0.9375,25,253.89559
0.9025,39,253.961048
0.9525,19,253.99096
0.935,26,254.029849
0.895,42,254.089905
0.9325,27,254.126985
0.94,24,254.160068
0.9725,11,254.181134
0.9575,17,254.208918
0.9275,29,254.255979
0.8925,43,254.330921
0.96,16,254.357265
0.94,24,254.398976
0.9275,29,254.448815
0.915,34,254.500368
0.8575,57,254.598918
0.95,20,254.632995
0.95,20,254.667066
0.9,40,254.730969
0.94,24,254.769056
0.95,20,254.796622
0.9025,39,254.858724
0.9375,25,254.905846
0.94,24,254.946024
0.945,22,254.982817
0.9625,15,255.00594
0.9075,37,255.05851
0.9725,11,255.078555
0.9,40,255.138462
0.945,22,255.175918
0.955,18,255.211565
0.9325,27,255.260107
0.925,30,255.313849
0.9425,23,255.354017
0.9625,15,255.379587
0.94,24,255.418829
0.95,20,255.454973
0.9575,17,255.489311
0.92,32,255.544058
0.9175,33,258.067912
0.94,24,258.103642
0.9725,11,258.119687
0.96,16,258.143505
0.94,24,258.178725
0.9125,35,258.233483
0.9525,19,258.262576
0.9525,19,258.296381
0.925,30,258.348147
0.96,16,258.375937
0.9475,21,258.408547
0.92,32,258.459161
0.9375,25,258.498965
0.9525,19,258.524015
0.895,42,258.588804
0.96,16,258.612731
0.9525,19,258.640878
0.955,18,258.665965
0.8725,51,258.746798
0.875,50,258.820719
0.9475,21,258.853884
0.915,34,258.913043
0.945,22,258.952158
0.9525,19,258.980758
0.955,18,259.005987
0.92,32,259.059183
0.965,14,259.086812
0.945,22,259.124101
0.945,22,259.155723
0.9475,21,259.186224
0.92,32,259.232045
0.9675,13,259.255035
0.9025,39,259.314945
0.965,14,259.335097
0.85,60,259.420373
0.97,12,259.43689
0.955,18,259.462331
0.945,22,259.492969
0.9575,17,259.521243
0.9425,23,259.5598
0.8875,45,259.637947
0.95,20,259.671383
0.9625,15,259.698037
0.9325,27,259.737945
0.92,32,259.78492
0.915,34,259.833091
0.945,22,259.864181
0.9575,17,259.886485
0.97,12,259.904902
0.9575,17,259.928975
0.92,32,259.975586
0.97,12,259.991637
0.965,14,260.011376
0.935,26,260.049904
0.9475,21,260.081203
0.9525,19,260.106815
0.9575,17,260.132558
0.9575,17,260.156751
0.9625,15,260.178269
0.9475,21,260.212831
0.91,36,260.267945
0.9375,25,260.302096
0.965,14,260.325105
0.91,36,260.378713
0.965,14,260.402937
